TicketId,Title,Priority,Assignee,DueDate,HoursLogged
7177,Badge reader error at door 180,Low,mrt,2026-10-07,1
7178,Wi-Fi dead zone in room 181,Medium,pko,2026-10-08,1.5
7179,Shared drive full on server 182,High,sva,2026-10-09,2
7180,Phone extension 183 not ringing,Low,ana,2026-09-10,0
7181,Printer offline on floor 184,Medium,jle,2026-09-11,0.5
7182,VPN drops for user 185,High,mrt,2026-09-12,1
7183,Laptop request for desk 186,Low,pko,2026-09-13,1.5
7184,Mailbox permissions for team 187,Medium,sva,2026-09-14,2
7185,Monitor flickers at desk 188,High,ana,2026-09-15,0
7186,Password reset for contractor 189,Low,jle,2026-09-16,0.5
7187,Badge reader error at door 190,Medium,mrt,2026-09-17,1
7188,Wi-Fi dead zone in room 191,High,pko,2026-09-18,1.5
7189,Shared drive full on server 192,Low,sva,2026-09-19,2
7190,Phone extension 193 not ringing,Medium,ana,2026-09-20,0
7191,Printer offline on floor 194,High,jle,2026-09-21,0.5
7192,VPN drops for user 195,Low,mrt,2026-09-22,1
7193,Laptop request for desk 196,Medium,pko,2026-09-23,1.5
7194,Mailbox permissions for team 100,High,sva,2026-09-24,2
7195,Monitor flickers at desk 101,Low,ana,2026-09-25,0
7196,Password reset for contractor 102,Medium,jle,2026-09-26,0.5
7197,Badge reader error at door 103,High,mrt,2026-09-27,1
7198,Wi-Fi dead zone in room 104,Low,pko,2026-09-28,1.5
7199,Shared drive full on server 105,Medium,sva,2026-09-29,2
7200,Phone extension 106 not ringing,High,ana,2026-09-30,0
7201,Printer offline on floor 107,Low,jle,2026-10-01,0.5
7202,VPN drops for user 108,Medium,mrt,2026-10-02,1
7203,Laptop request for desk 109,High,pko,2026-10-03,1.5
7204,Mailbox permissions for team 110,Low,sva,2026-10-04,2
7205,Monitor flickers at desk 111,Medium,ana,2026-10-05,0
7206,Password reset for contractor 112,High,jle,2026-10-06,0.5
7207,Badge reader error at door 113,Low,mrt,2026-10-07,1
7208,Wi-Fi dead zone in room 114,Medium,pko,2026-10-08,1.5
7209,Shared drive full on server 115,High,sva,2026-10-09,2
7210,Phone extension 116 not ringing,Low,ana,2026-09-10,0
7211,Printer offline on floor 117,Medium,jle,2026-09-11,0.5
7212,VPN drops for user 118,High,mrt,2026-09-12,1
7213,Laptop request for desk 119,Low,pko,2026-09-13,1.5
7214,Mailbox permissions for team 120,Medium,sva,2026-06-31,2
7215,Monitor flickers at desk 121,High,ana,2026-09-15,0
7216,Password reset for contractor 122,Low,jle,2026-09-16,0.5
7217,Badge reader error at door 123,Medium,mrt,2026-09-17,1
7218,Wi-Fi dead zone in room 124,High,pko,2026-09-18,1.5
7219,Shared drive full on server 125,Low,sva,2026-09-19,2
7220,Phone extension 126 not ringing,Medium,ana,2026-09-20,0
7221,Printer offline on floor 127,High,jle,2026-09-21,0.5
7222,VPN drops for user 128,Low,mrt,2026-09-22,1
7223,Laptop request for desk 129,Medium,pko,2026-09-23,1.5
7224,Mailbox permissions for team 130,High,sva,2026-09-24,2
7225,Monitor flickers at desk 131,Low,ana,2026-09-25,0
7226,Password reset for contractor 132,Medium,jle,2026-09-26,0.5
7227,Badge reader error at door 133,High,mrt,2026-09-27,1
7228,Wi-Fi dead zone in room 134,Low,pko,2026-09-28,1.5
7229,Shared drive full on server 135,Medium,sva,2026-09-29,2
7230,Phone extension 136 not ringing,High,ana,2026-09-30,0
7231,Printer offline on floor 137,Low,jle,2026-10-01,0.5
7232,VPN drops for user 138,Medium,mrt,2026-10-02,1
7233,Laptop request for desk 139,High,pko,2026-10-03,1.5
7234,Mailbox permissions for team 140,Low,sva,2026-10-04,2
7235,Monitor flickers at desk 141,Medium,ana,2026-10-05,0
7236,Password reset for contractor 142,High,jle,2026-10-06,0.5
7237,Badge reader error at door 143,Low,mrt,2026-10-07,1
7238,Wi-Fi dead zone in room 144,Medium,pko,2026-10-08,1.5
7239,Shared drive full on server 145,High,sva,2026-10-09,2
7240,Phone extension 146 not ringing,Low,ana,2026-09-10,0
7241,Printer offline on floor 147,Medium,jle,2026-09-11,0.5
7242,VPN drops for user 148,High,mrt,2026-09-12,1
7243,Laptop request for desk 149,Low,pko,2026-09-13,1.5
7244,Mailbox permissions for team 150,Medium,sva,2026-09-14,2
7245,Monitor flickers at desk 151,High,ana,2026-09-15,0
7246,Password reset for contractor 152,Low,jle,2026-09-16,0.5
7247,Badge reader error at door 153,Medium,mrt,2026-09-17,1
7248,Wi-Fi dead zone in room 154,High,pko,2026-09-18,1.5
7249,Shared drive full on server 155,Low,sva,2026-09-19,2
7250,Phone extension 156 not ringing,Medium,ana,2026-09-20,0
7251,Printer offline on floor 157,High,jle,2026-09-21,0.5
7252,VPN drops for user 158,Low,mrt,2026-09-22,1
7253,Laptop request for desk 159,Medium,pko,2026-09-23,1.5
7254,Mailbox permissions for team 160,High,sva,2026-09-24,2
7255,Monitor flickers at desk 161,Low,ana,2026-09-25,0
7256,Password reset for contractor 162,Medium,jle,2026-09-26,0.5
7257,Badge reader error at door 163,High,mrt,2026-09-27,1
7258,Wi-Fi dead zone in room 164,Low,pko,2026-09-28,1.5
7259,Shared drive full on server 165,Medium,sva,2026-09-29,2
7260,Phone extension 166 not ringing,High,ana,2026-09-30,0
7261,Printer offline on floor 167,Low,jle,2026-10-01,0.5
7262,VPN drops for user 168,Medium,mrt,2026-10-02,1
7263,Laptop request for desk 169,High,pko,2026-10-03,1.5
7264,Mailbox permissions for team 170,Low,sva,2026-10-04,2
7265,Monitor flickers at desk 171,Medium,ana,2026-10-05,0
7266,Password reset for contractor 172,High,jle,2026-10-06,0.5
7267,Badge reader error at door 173,Low,mrt,2026-10-07,1
7268,Wi-Fi dead zone in room 174,Medium,pko,2026-10-08,1.5
7269,Shared drive full on server 175,High,sva,2026-10-09,2
7270,Phone extension 176 not ringing,Low,ana,2026-09-10,0
7271,Printer offline on floor 177,Medium,jle,2026-09-11,0.5
7272,VPN drops for user 178,High,mrt,2026-09-12,1
7273,Laptop request for desk 179,Low,pko,2026-09-13,1.5
7274,Mailbox permissions for team 180,Medium,sva,2026-09-14,2
7275,Monitor flickers at desk 181,High,ana,2026-09-15,0
7276,Password reset for contractor 182,Low,jle,2026-09-16,0.5
7277,Badge reader error at door 183,Medium,mrt,2026-09-17,1
7278,Wi-Fi dead zone in room 184,High,pko,2026-09-18,1.5
7279,Shared drive full on server 185,Low,sva,2026-09-19,2
7280,Phone extension 186 not ringing,Medium,ana,2026-09-20,0
7281,Printer offline on floor 187,High,jle,2026-09-21,0.5
7282,VPN drops for user 188,Low,mrt,2026-09-22,1
7283,Laptop request for desk 189,Medium,pko,2026-09-23,1.5
7284,Mailbox permissions for team 190,High,sva,2026-09-24,2
7285,Monitor flickers at desk 191,Low,ana,2026-09-25,0
7286,Password reset for contractor 192,Medium,jle,2026-09-26,0.5
7287,Badge reader error at door 193,High,kbo,2026-09-27,1
7288,Wi-Fi dead zone in room 194,Low,pko,2026-09-28,1.5
7289,Shared drive full on server 195,Medium,sva,2026-09-29,2
7290,Phone extension 196 not ringing,High,ana,2026-09-30,0
7291,Printer offline on floor 100,Low,jle,2026-10-01,0.5
7292,VPN drops for user 101,Medium,mrt,2026-10-02,1
7293,Laptop request for desk 102,High,pko,2026-10-03,1.5
7294,Mailbox permissions for team 103,Low,sva,2026-10-04,2
7295,Monitor flickers at desk 104,Medium,ana,2026-10-05,0
7296,Password reset for contractor 105,High,jle,2026-10-06,0.5
7297,Badge reader error at door 106,Low,mrt,2026-10-07,1
7298,Wi-Fi dead zone in room 107,Medium,pko,2026-10-08,1.5
7299,Shared drive full on server 108,High,sva,2026-10-09,2
7300,Phone extension 109 not ringing,Low,ana,2026-09-10,0
7301,Printer offline on floor 110,Medium,jle,2026-09-11,0.5
7302,VPN drops for user 111,High,mrt,2026-09-12,1
7303,Laptop request for desk 112,Low,pko,2026-09-13,1.5
7304,Mailbox permissions for team 113,Medium,sva,2026-09-14,2
7305,Monitor flickers at desk 114,High,ana,2026-09-15,0
7306,Password reset for contractor 115,Low,jle,2026-09-16,0.5
7307,Badge reader error at door 116,Medium,mrt,2026-09-17,1
7308,Wi-Fi dead zone in room 117,High,pko,2026-09-18,1.5
7309,Shared drive full on server 118,Low,sva,2026-09-19,2
7310,Phone extension 119 not ringing,Medium,ana,2026-09-20,0
7311,Printer offline on floor 120,High,jle,2026-09-21,0.5
7312,VPN drops for user 121,Low,mrt,2026-09-22,1
7313,Laptop request for desk 122,Medium,pko,2026-09-23,1.5
7314,Mailbox permissions for team 123,High,sva,2026-09-24,2
7315,Monitor flickers at desk 124,Low,ana,2026-09-25,0
7316,Password reset for contractor 125,Medium,jle,2026-09-26,0.5
7317,Badge reader error at door 126,High,mrt,2026-09-27,1
7318,Wi-Fi dead zone in room 127,Low,pko,2026-09-28,1.5
7319,Shared drive full on server 128,Medium,sva,2026-09-29,2
7320,Phone extension 129 not ringing,High,ana,2026-09-30,0
7321,Printer offline on floor 130,Low,jle,2026-10-01,0.5
7322,VPN drops for user 131,Medium,mrt,2026-10-02,1
7323,Laptop request for desk 132,High,pko,2026-10-03,1.5
7324,Mailbox permissions for team 133,Low,sva,2026-10-04,2
7325,Monitor flickers at desk 134,Medium,ana,2026-10-05,0
7326,Password reset for contractor 135,High,jle,2026-10-06,0.5
7327,Badge reader error at door 136,Low,mrt,2026-10-07,1
7328,Wi-Fi dead zone in room 137,Medium,pko,2026-10-08,1.5
7329,Shared drive full on server 138,High,sva,2026-10-09,2
7330,Phone extension 139 not ringing,Low,ana,2026-09-10,0
7331,Printer offline on floor 140,Medium,jle,2026-09-11,0.5
7332,VPN drops for user 141,High,mrt,2026-09-12,1
7333,Laptop request for desk 142,Low,pko,2026-09-13,1.5
7334,Mailbox permissions for team 143,Medium,sva,2026-09-14,2
7335,Monitor flickers at desk 144,High,ana,2026-09-15,0
7336,Password reset for contractor 145,Low,jle,2026-09-16,0.5
7337,Badge reader error at door 146,Medium,mrt,2026-09-17,1
7338,Wi-Fi dead zone in room 147,High,pko,2026-09-18,1.5
7339,Shared drive full on server 148,Low,sva,2026-09-19,2
7340,Phone extension 149 not ringing,Medium,ana,2026-09-20,0
7341,Printer offline on floor 150,High,jle,2026-09-21,0.5
7342,VPN drops for user 151,Low,mrt,2026-09-22,1
7343,Laptop request for desk 152,Medium,pko,2026-09-23,1.5
7344,Mailbox permissions for team 153,High,sva,2026-09-24,2
7345,Monitor flickers at desk 154,Low,ana,2026-09-25,0
7346,Password reset for contractor 155,Medium,jle,2026-09-26,0.5
7347,Badge reader error at door 156,High,mrt,2026-09-27,1
7348,Wi-Fi dead zone in room 157,Low,pko,2026-09-28,1.5
7349,Shared drive full on server 158,Medium,sva,2026-09-29,2
7350,Phone extension 159 not ringing,High,ana,2026-09-30,0
7351,Printer offline on floor 160,Low,jle,2026-10-01,0.5
7352,VPN drops for user 161,Medium,mrt,2026-10-02,1
7353,Laptop request for desk 162,High,pko,2026-10-03,1.5
7354,Mailbox permissions for team 163,Low,sva,2026-10-04,2
7355,Monitor flickers at desk 164,Medium,ana,2026-10-05,0
7356,Password reset for contractor 165,High,jle,2026-10-06,0.5
7357,Badge reader error at door 166,Low,mrt,2026-10-07,1
7358,Wi-Fi dead zone in room 167,Medium,pko,2026-10-08,1.5
7359,Shared drive full on server 168,High,sva,2026-10-09,2
7360,Phone extension 169 not ringing,Low,ana,2026-09-10,0
7361,Printer offline on floor 170,Medium,jle,2026-09-11,0.5
7362,VPN drops for user 171,High,mrt,2026-09-12,1
7363,Laptop request for desk 172,Low,pko,2026-09-13,1.5
7364,Mailbox permissions for team 173,Medium,sva,2026-09-14,2
7365,Monitor flickers at desk 174,High,ana,2026-09-15,0
7366,Password reset for contractor 175,Low,jle,2026-09-16,0.5
7367,Badge reader error at door 176,Medium,mrt,2026-09-17,1
7368,Wi-Fi dead zone in room 177,High,pko,2026-09-18,1.5
7369,Shared drive full on server 178,Low,sva,2026-09-19,2
7370,Phone extension 179 not ringing,Medium,ana,2026-09-20,0
7371,Printer offline on floor 180,High,jle,2026-09-21,0.5
7372,VPN drops for user 181,Low,mrt,2026-09-22,1
7373,Laptop request for desk 182,Medium,pko,2026-09-23,1.5
7374,Mailbox permissions for team 183,High,sva,2026-09-24,2
7375,Monitor flickers at desk 184,Low,ana,2026-09-25,0
7376,Password reset for contractor 185,Medium,jle,2026-09-26,0.5
7377,Badge reader error at door 186,High,mrt,2026-09-27,1
7378,Wi-Fi dead zone in room 187,Low,pko,2026-09-28,1.5
7379,Shared drive full on server 188,Medium,sva,2026-09-29,2
7380,Phone extension 189 not ringing,High,ana,2026-09-30,0
7381,Printer offline on floor 190,Low,jle,2026-10-01,0.5
7382,VPN drops for user 191,Medium,mrt,2026-10-02,1
7383,Laptop request for desk 192,High,pko,2026-10-03,1.5
7384,Mailbox permissions for team 193,Low,sva,2026-10-04,2
7385,Monitor flickers at desk 194,Medium,ana,2026-10-05,0
7386,Password reset for contractor 195,High,jle,2026-10-06,0.5
7387,Badge reader error at door 196,Low,mrt,2026-10-07,1
7388,Wi-Fi dead zone in room 100,Medium,pko,2026-10-08,1.5
7389,Shared drive full on server 101,High,sva,2026-10-09,2
7390,Phone extension 102 not ringing,Low,ana,2026-09-10,0
7391,Printer offline on floor 103,Medium,jle,2026-09-11,0.5
7392,VPN drops for user 104,High,mrt,2026-09-12,1
7393,Laptop request for desk 105,Low,pko,2026-09-13,1.5
7394,Mailbox permissions for team 106,Medium,sva,2026-09-14,2
7395,Monitor flickers at desk 107,High,ana,2026-09-15,0
7396,Password reset for contractor 108,Low,jle,2026-09-16,0.5
7397,Badge reader error at door 109,Medium,mrt,2026-09-17,1
7398,Wi-Fi dead zone in room 110,High,pko,2026-09-18,1.5
7399,Shared drive full on server 111,Low,sva,2026-09-19,2
7400,Phone extension 112 not ringing,Medium,ana,2026-09-20,0
7401,Printer offline on floor 113,High,jle,2026-09-21,0.5
7402,VPN drops for user 114,Low,mrt,2026-09-22,1
7403,Laptop request for desk 115,Medium,pko,2026-09-23,1.5
7404,Mailbox permissions for team 116,High,sva,2026-09-24,2
7405,Monitor flickers at desk 117,Low,ana,2026-09-25,0
7406,Password reset for contractor 118,Medium,jle,2026-09-26,0.5
7407,Badge reader error at door 119,High,mrt,2026-09-27,1
7408,Wi-Fi dead zone in room 120,Low,pko,2026-09-28,1.5
7409,Shared drive full on server 121,Medium,sva,2026-09-29,2
7410,Phone extension 122 not ringing,High,ana,2026-09-30,0
7411,Printer offline on floor 123,Low,jle,2026-10-01,0.5
7411,VPN drops for user 124,Medium,mrt,2026-10-02,1
7413,Laptop request for desk 125,High,pko,2026-10-03,1.5
7414,Mailbox permissions for team 126,Low,sva,2026-10-04,2
7415,Monitor flickers at desk 127,Medium,ana,2026-10-05,0
7416,Password reset for contractor 128,High,jle,2026-10-06,0.5
7417,Badge reader error at door 129,Low,mrt,2026-10-07,1
7418,Wi-Fi dead zone in room 130,Medium,pko,2026-10-08,1.5
7419,Shared drive full on server 131,High,sva,2026-10-09,2
7420,Phone extension 132 not ringing,Low,ana,2026-09-10,0
7421,Printer offline on floor 133,Medium,jle,2026-09-11,0.5
7422,VPN drops for user 134,High,mrt,2026-09-12,1
7423,Laptop request for desk 135,Low,pko,2026-09-13,1.5
7424,Mailbox permissions for team 136,Medium,sva,2026-09-14,2
7425,Monitor flickers at desk 137,High,ana,2026-09-15,0
7426,Password reset for contractor 138,Low,jle,2026-09-16,0.5
7427,Badge reader error at door 139,Medium,mrt,2026-09-17,1
7428,Wi-Fi dead zone in room 140,High,pko,2026-09-18,1.5
7429,Shared drive full on server 141,Low,sva,2026-09-19,2
7430,Phone extension 142 not ringing,Medium,ana,2026-09-20,0
7431,Printer offline on floor 143,High,jle,2026-09-21,0.5
7432,VPN drops for user 144,Low,mrt,2026-09-22,1
7433,Laptop request for desk 145,Medium,pko,2026-09-23,1.5
7434,Mailbox permissions for team 146,High,sva,2026-09-24,2
7435,Monitor flickers at desk 147,Low,ana,2026-09-25,0
7436,Password reset for contractor 148,Medium,jle,2026-09-26,0.5
7437,Badge reader error at door 149,High,mrt,2026-09-27,1
7438,Wi-Fi dead zone in room 150,Low,pko,2026-09-28,1.5
7439,Shared drive full on server 151,Medium,sva,2026-09-29,2
7440,Phone extension 152 not ringing,High,ana,2026-09-30,0
7441,Printer offline on floor 153,Low,jle,2026-10-01,0.5
7442,VPN drops for user 154,Medium,mrt,2026-10-02,1
7443,Laptop request for desk 155,High,pko,2026-10-03,1.5
7444,Mailbox permissions for team 156,Low,sva,2026-10-04,2
7445,Monitor flickers at desk 157,Medium,ana,2026-10-05,0
7446,Password reset for contractor 158,High,jle,2026-10-06,0.5
7447,Badge reader error at door 159,Low,mrt,2026-10-07,1
7448,Wi-Fi dead zone in room 160,Medium,pko,2026-10-08,1.5
7449,Shared drive full on server 161,High,sva,2026-10-09,2
7450,Phone extension 162 not ringing,Low,ana,2026-09-10,0
